Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PTS,full_name
2544,0021901310,2020-08-13,LAL vs. SAC,L,15,6,13,0.462,2,5,0.4,3,3,1.0,3,4,0,0,3,17,LeBron James
2544,0021901296,2020-08-10,LAL vs. DEN,W,38,9,21,0.429,5,11,0.455,6,10,0.6,1,12,0,2,5,29,LeBron James
2544,0021901282,2020-08-08,LAL @ IND,L,35,13,24,0.542,2,6,0.333,3,6,0.5,8,7,0,1,1,31,LeBron James
2544,0021901265,2020-08-05,LAL vs. OKC,L,30,7,19,0.368,0,5,0.0,5,8,0.625,11,4,1,0,0,19,LeBron James
2544,0021901255,2020-08-03,LAL @ UTA,W,35,9,16,0.563,2,5,0.4,2,2,1.0,8,9,2,1,4,22,LeBron James
2544,0021901243,2020-08-01,LAL @ TOR,L,35,7,15,0.467,2,5,0.4,4,7,0.571,10,5,0,1,4,20,LeBron James
2544,0021901232,2020-07-30,LAL vs. LAC,W,34,6,19,0.316,2,7,0.286,2,2,1.0,11,7,1,1,5,16,LeBron James
2544,0021900968,2020-03-10,LAL vs. BKN,L,35,12,22,0.545,4,9,0.444,1,5,0.2,12,9,1,0,3,29,LeBron James
2544,0021900948,2020-03-08,LAL @ LAC,W,35,7,17,0.412,2,6,0.333,12,14,0.857,8,9,0,2,2,28,LeBron James
2544,0021900939,2020-03-06,LAL vs. MIL,W,37,12,21,0.571,1,7,0.143,12,15,0.8,8,8,3,0,4,37,LeBron James
2544,0021900915,2020-03-03,LAL vs. PHI,W,34,9,16,0.563,2,5,0.4,2,3,0.667,7,14,1,2,3,22,LeBron James
2544,0021900900,2020-03-01,LAL @ NOP,W,36,14,21,0.667,3,5,0.6,3,3,1.0,12,13,2,0,6,34,LeBron James
2544,0021900891,2020-02-29,LAL @ MEM,L,34,8,18,0.444,2,8,0.25,1,2,0.5,8,10,1,1,5,19,LeBron James
2544,0021900861,2020-02-25,LAL vs. NOP,W,34,17,27,0.63,5,11,0.455,1,2,0.5,8,6,0,1,7,40,LeBron James
2544,0021900842,2020-02-23,LAL vs. BOS,W,35,9,19,0.474,4,10,0.4,7,12,0.583,8,9,0,0,2,29,LeBron James
2544,0021900833,2020-02-21,LAL vs. MEM,W,36,10,17,0.588,1,4,0.25,11,12,0.917,3,7,0,2,1,32,LeBron James
2544,0021900817,2020-02-12,LAL @ DEN,W,42,15,29,0.517,1,7,0.143,1,4,0.25,12,14,0,0,3,32,LeBron James
2544,0021900801,2020-02-10,LAL vs. PHX,W,30,6,16,0.375,3,6,0.5,2,4,0.5,8,9,1,0,8,17,LeBron James
2544,0021900783,2020-02-08,LAL @ GSW,W,34,7,17,0.412,3,8,0.375,5,6,0.833,8,11,1,0,7,22,LeBron James
2544,0021900768,2020-02-06,LAL vs. HOU,L,37,8,19,0.421,1,8,0.125,1,1,1.0,9,15,2,0,6,18,LeBron James
2544,0021900754,2020-02-04,LAL vs. SAS,W,34,12,20,0.6,6,9,0.667,6,9,0.667,7,9,1,0,2,36,LeBron James
2544,0021900736,2020-02-01,LAL @ SAC,W,34,6,15,0.4,1,4,0.25,2,3,0.667,10,11,2,0,2,15,LeBron James
2544,0021900726,2020-01-31,LAL vs. POR,L,38,9,22,0.409,3,8,0.375,1,4,0.25,8,10,0,1,5,22,LeBron James
